n_digit,sample_prop,trial,estimate
2,0.5,1,405
2,0.5,2,606
2,0.5,3,560
2,0.5,4,560
2,0.5,5,606
2,0.5,6,606
2,0.5,7,425
2,0.5,8,606
2,0.5,9,606
2,0.5,10,560
2,0.5,11,570
2,0.5,12,570
2,0.5,13,606
2,0.5,14,606
2,0.5,15,560
2,0.5,16,606
2,0.5,17,560
2,0.5,18,560
2,0.5,19,560
2,0.5,20,606
2,0.5,21,570
2,0.5,22,570
2,0.5,23,570
2,0.5,24,606
2,0.5,25,606
2,0.5,26,560
2,0.5,27,313
2,0.5,28,570
2,0.5,29,570
2,0.5,30,570
2,0.5,31,606
2,0.5,32,570
2,0.5,33,560
2,0.5,34,606
2,0.5,35,606
2,0.5,36,560
2,0.5,37,570
2,0.5,38,606
2,0.5,39,606
2,0.5,40,606
2,0.5,41,606
2,0.5,42,606
2,0.5,43,570
2,0.5,44,570
2,0.5,45,560
2,0.5,46,606
2,0.5,47,570
2,0.5,48,570
2,0.5,49,560
2,0.5,50,606
2,0.5,51,570
2,0.5,52,570
2,0.5,53,405
2,0.5,54,606
2,0.5,55,606
2,0.5,56,606
2,0.5,57,560
2,0.5,58,606
2,0.5,59,570
2,0.5,60,606
2,0.5,61,606
2,0.5,62,560
2,0.5,63,570
2,0.5,64,606
2,0.5,65,425
2,0.5,66,560
2,0.5,67,606
2,0.5,68,606
2,0.5,69,606
2,0.5,70,606
2,0.5,71,606
2,0.5,72,560
2,0.5,73,425
2,0.5,74,606
2,0.5,75,570
2,0.5,76,570
2,0.5,77,606
2,0.5,78,606
2,0.5,79,570
2,0.5,80,606
2,0.5,81,560
2,0.5,82,570
2,0.5,83,570
2,0.5,84,606
2,0.5,85,606
2,0.5,86,606
2,0.5,87,560
2,0.5,88,606
2,0.5,89,606
2,0.5,90,560
2,0.5,91,570
2,0.5,92,570
2,0.5,93,606
2,0.5,94,570
2,0.5,95,425
2,0.5,96,606
2,0.5,97,560
2,0.5,98,606
2,0.5,99,606
2,0.5,100,560
2,0.3333333333333333,1,405
2,0.3333333333333333,2,570
2,0.3333333333333333,3,560
2,0.3333333333333333,4,560
2,0.3333333333333333,5,560
2,0.3333333333333333,6,570
2,0.3333333333333333,7,570
2,0.3333333333333333,8,570
2,0.3333333333333333,9,606
2,0.3333333333333333,10,313
2,0.3333333333333333,11,293
